city+country,Value,wmo,lat,long,place,db_max,wb_max,city,country
ulyanovsk+russian federation,637637.0,,,,,,,,
noida+india,637272.0,,,,,,,,
wroclaw+poland,636722.0,,,,,,,,
salta+argentina,636406.1921,870470,-24.856,-65.486,"SALTA AP, ARGENTINA",38.4,26.3,salta,argentina
nantes+france,633690.0,,,,,,,,
jieyang+china,633570.0,,,,,,,,
kochi+india,633553.0,433530,9.946,76.272,"KOCHI, INDIA",39.4,30.2,kochi,india
shaoxing+china,633118.0,,,,,,,,
stuttgart+germany,632743.0,,,,,,,,
qianan+china,632704.0,,,,,,,,
riga+latvia,632614.0,264225,56.967,24.050,"RIGA, LATVIA",35.1,26.1,riga,latvia
nanchuan+china,631853.0,,,,,,,,
qionglai+china,631577.0,,,,,,,,
krivoy rog+ukraine,630941.0,,,,,,,,
jaboatao dos guarapes+brazil,630595.0,,,,,,,,
deyang+china,628876.0,,,,,,,,
fuyang+china,628633.0,582030,32.867,115.733,"FUYANG, CHINA",39.2,30.7,fuyang,china
fuxin+china,627855.0,,,,,,,,
bhilai nagar+india,627734.0,,,,,,,,
izhevsk+russian federation,627734.0,284110,56.833,53.450,"IZHEVSK, RUSSIAN FEDERATION",35.9,25.2,izhevsk,russian federation
omaha+u.s.,626623.0,,,,,,,,
jiyuan+china,626478.0,,,,,,,,
bandjarmasin+indonesia,625481.0,,,,,,,,
qufu+china,625313.0,,,,,,,,
gaoyao+china,625125.0,,,,,,,,
vladivostok+russian federation,624281.0,319600,43.117,131.933,"VLADIVOSTOK, RUSSIAN FEDERATION",35.5,27.4,vladivostok,russian federation
xinji+china,623219.0,,,,,,,,
funabashi+japan,622890.0,,,,,,,,
san miguel de tucumán+argentina,622324.0,,,,,,,,
gold coast+australia,622048.0,945920,-28.164,153.505,"GOLD COAST, AUSTRALIA",38.2,27.4,gold coast,australia
dujiangyan+china,621980.0,,,,,,,,
the hague+netherlands,621512.0,,,,,,,,
valenzuela+philippines,620422.0,,,,,,,,
lingyuan+china,620121.0,,,,,,,,
xingyang+china,619840.0,,,,,,,,
thiès+senegal,618436.0,,,,,,,,
maiduguri+nigeria,618278.0,,,,,,,,
meihekou+china,617674.0,,,,,,,,
düsseldorf+germany,617280.0,,,,,,,,
sao josé dos campos+brazil,617119.0,,,,,,,,
jeonju+south korea,616468.0,471460,35.833,127.117,"JEONJU, KOREA, REPUBLIC OF",37.5,29.8,jeonju,south korea
kobenhavn+denmark,616098.0,,,,,,,,
leling+china,615833.0,,,,,,,,
xichang+china,615212.0,,,,,,,,
chongjin+north korea,614892.0,470080,41.783,129.817,"CHONGJIN, KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",33.7,28.2,chongjin,north korea
hamhung+north korea,614198.0,470410,39.933,127.550,"HAMHUNG, KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",36.8,29.3,hamhung,north korea
petaling jaya+malaysia,613977.0,,,,,,,,
chimalhuacan+mexico,612383.0,,,,,,,,
zaria+nigeria,612257.0,,,,,,,,
namangan+uzbekistan,612208.0,386110,40.983,71.583,"NAMANGAN, UZBEKISTAN",41.3,29.2,namangan,uzbekistan
anlu+china,611990.0,,,,,,,,
yizheng+china,610356.0,,,,,,,,
cuttack+india,610189.0,,,,,,,,
malmö+sweden,609356.0,,,,,,,,
weihai+china,609219.0,,,,,,,,
xinzheng+china,609173.0,,,,,,,,
dengfeng+china,609085.0,,,,,,,,
pachuca+mexico,608131.0,,,,,,,,
shaoyang+china,607868.0,577660,27.183,111.450,"SHAOYANG, CHINA",39.3,28.8,shaoyang,china
taizhou+china,607660.0,,,,,,,,
lanxi+china,607196.0,,,,,,,,
bhavnagar+india,605882.0,,,,,,,,
mbour+senegal,605346.0,,,,,,,,
yuncheng+china,604381.0,539590,35.117,111.067,"YUNCHENG, CHINA",41.3,28.9,yuncheng,china
firozabad+india,604214.0,,,,,,,,
ribeirao prêto+brazil,603186.0,,,,,,,,
shishou+china,602649.0,,,,,,,,
panjin+china,602541.0,,,,,,,,
contagem+brazil,601400.0,,,,,,,,
jamnagar+india,600943.0,,,,,,,,
binzhou+china,600883.0,,,,,,,,
baoji+china,600377.0,570160,34.350,107.133,"BAOJI, CHINA",40.3,27.3,baoji,china
kagoshima+japan,599814.0,478270,31.550,130.550,"KAGOSHIMA, JAPAN",36.8,28.5,kagoshima,japan
san pedro sula+honduras,598518.7901,,,,,,,,
yanzhou+china,598387.0,549160,35.567,116.850,"YANZHOU, CHINA",39.7,30.7,yanzhou,china
albuquerque+u.s.,598191.0,723650,35.042,-106.616,"ALBUQUERQUE INTL, NM, USA",40.1,20.6,albuquerque,u.s.
genève+switzerland,597269.0,,,,,,,,
brazzaville+congo,596200.0,,,,,,,,
durban+south africa,595061.0,685880,-29.970,30.951,"DURBAN INTL, SOUTH AFRICA",37.6,27.3,durban,south africa
general santos+philippines,594446.0,988510,6.050,125.100,"GENERAL SANTOS INTL, PHILIPPINES",38.6,29.8,general santos,philippines
jurong+china,594316.0,,,,,,,,
zhaoyuan+china,593705.0,,,,,,,,
kingston+jamaica,592291.0,,,,,,,,
santiago de los caballeros+dominican republic,591985.0,,,,,,,,
huizhou+china,591686.0,,,,,,,,
yaroslavl+russian federation,591486.0,,,,,,,,
tianchang+china,590745.0,,,,,,,,
alicante/alacant+spain,590669.0,,,,,,,,
shihezi+china,590115.0,,,,,,,,
shiyan+china,589824.0,,,,,,,,
adan+yemen,589419.0,,,,,,,,
las piñas+philippines,588894.0,,,,,,,,
irkutsk+russian federation,587891.0,307100,52.268,104.389,"IRKUTSK, RUSSIAN FEDERATION",34.4,24.3,irkutsk,russian federation
zahedan+iran,587730.0,408560,29.476,60.907,"ZAHEDAN INTL, IRAN, ISLAMIC REPUBLIC OF",45.5,23.6,zahedan,iran
uberlândia+brazil,587266.0,,,,,,,,
tlaxcala+mexico,586707.0,,,,,,,,
cheongju+south korea,586700.0,471310,36.633,127.450,"CHEONGJU, KOREA, REPUBLIC OF",36.6,28.8,cheongju,south korea
dortmund+germany,586600.0,,,,,,,,
tizi ouzou+algeria,585775.0,,,,,,,,
cúcuta+colombia,585543.0,,,,,,,,
surrey+canada,584526.0,,,,,,,,
kitchener-cambridge-waterloo+canada,584259.0,,,,,,,,
essen+germany,583393.0,,,,,,,,
jingmen+china,583373.0,,,,,,,,
shangzhi+china,582764.0,509680,45.217,127.967,"SHANGZHI, CHINA",35.2,27.7,shangzhi,china
anqing+china,582751.0,584240,30.617,116.967,"ANQING, CHINA",39.2,30.5,anqing,china
makati+philippines,582602.0,,,,,,,,
leipzig+germany,581980.0,,,,,,,,
sorocaba+brazil,580621.0,,,,,,,,
rushan+china,580326.0,,,,,,,,
at-ta'if+saudi arabia,579970.0,,,,,,,,
gaza+state of palestine,579481.0,,,,,,,,
genova+italy,579048.5,,,,,,,,
maipú+chile,578605.0,,,,,,,,
kawaguchi+japan,578112.0,,,,,,,,
glasgow+united kingdom,577869.0,031400,55.872,-4.433,"GLASGOW, UNITED KINGDOM",29.3,21.9,glasgow,united kingdom
hachioji+japan,577513.0,,,,,,,,
khabarovsk+russian federation,577441.0,317350,48.528,135.188,"KHABAROVSK, RUSSIAN FEDERATION",36.8,27.9,khabarovsk,russian federation
guanghan+china,577298.0,,,,,,,,
allentown+u.s.,576408.0,,,,,,,,
jammu+india,576198.0,,,,,,,,
dasmariñas+philippines,575817.0,,,,,,,,
dehradun+india,574840.0,421110,30.317,78.033,"DEHRADUN, INDIA",43.2,29.6,dehradun,india
lomas de zamora+argentina,574330.0,,,,,,,,
beipiao+china,573836.0,,,,,,,,
maturín+venezuela,571276.0,,,,,,,,
aracaju+brazil,571149.0,830950,-10.984,-37.070,"ARACAJU AP, BRAZIL",38.9,30.4,aracaju,brazil
orenburg+russian federation,571041.0,351210,51.796,55.457,"ORENBURG, RUSSIAN FEDERATION",40.8,25.8,orenburg,russian federation
akron+u.s.,570215.0,,,,,,,,
poza rica+mexico,570057.0,,,,,,,,
toulon+france,569793.0,076600,43.100,5.933,"TOULON, FRANCE",36.4,27.3,toulon,france
mingguang+china,569585.0,,,,,,,,
shenzhou+china,568558.0,,,,,,,,
bremen+germany,568006.0,102240,53.048,8.787,"BREMEN, GERMANY",36.5,24.5,bremen,germany
zhangzhou+china,567884.0,,,,,,,,
xianning+china,567598.0,,,,,,,,
ma'anshan+china,567576.0,,,,,,,,
durgapur+india,566517.0,,,,,,,,
tomsk+russian federation,565000.0,294300,56.500,84.917,"TOMSK, RUSSIAN FEDERATION",34.3,25.0,tomsk,russian federation
asansol+india,563917.0,,,,,,,,
shuozhou+china,563896.0,,,,,,,,
beskra+algeria,563245.0,,,,,,,,
bacolod+philippines,561875.0,,,,,,,,
akeshu+china,561822.0,,,,,,,,
bejaïa+algeria,559981.0,,,,,,,,
beihai+china,558635.0,596440,21.483,109.100,"BEIHAI, CHINA",37.3,29.6,beihai,china
tulsa+u.s.,558329.0,723560,36.199,-95.887,"TULSA INTL, OK, USA",44.0,28.7,tulsa,u.s.
bazhou+china,557901.0,,,,,,,,
gold coast-tweed heads+australia,557822.0,,,,,,,,
balikpapan+indonesia,557579.0,,,,,,,,
yongkang+china,557067.0,,,,,,,,
chizhou+china,555489.0,,,,,,,,
huaiyin+china,555052.0,,,,,,,,
fresno+u.s.,554923.0,,,,,,,,
hamadan+iran,554406.0,,,,,,,,
fu'an+china,554057.0,,,,,,,,
bobo dioulasso+burkina faso,554042.0,,,,,,,,
concord+u.s.,552624.0,726050,43.195,-71.501,"CONCORD MUNICIPAL, NH, USA",38.0,27.0,concord,u.s.
dezhou+china,552445.0,547140,37.433,116.317,"DEZHOU, CHINA",38.9,31.1,dezhou,china
xingping+china,551523.0,,,,,,,,
jiujiang+china,551329.0,,,,,,,,
dresden+germany,551072.0,,,,,,,,
bristol+united kingdom,551066.0,037243,51.383,-2.719,"BRISTOL, UNITED KINGDOM",31.6,22.3,bristol,united kingdom
botou+china,550888.0,546180,38.083,116.550,"BOTOU, CHINA",40.5,30.5,botou,china
fengnan+china,550872.0,,,,,,,,
kozhikode+india,550440.0,433140,11.250,75.783,"KOZHIKODE, INDIA",36.4,30.3,kozhikode,india
nanded waghala+india,550439.0,,,,,,,,
bâle+switzerland,550152.0,,,,,,,,
vilnius+lithuania,549808.0,267300,54.634,25.286,"VILNIUS INTL, LITHUANIA",34.8,25.6,vilnius,lithuania
yizhou+china,549434.0,,,,,,,,
kolhapur+india,549236.0,,,,,,,,
monastir+tunisia,548828.0,,,,,,,,
novokuznetsk+russian federation,547904.0,298460,53.817,86.883,"NOVOKUZNETSK, RUSSIAN FEDERATION",36.2,25.3,novokuznetsk,russian federation
nellore+india,547621.0,432450,14.450,79.983,"NELLORE, INDIA",45.3,31.4,nellore,india
skopje+north macedonia,546824.0,,,,,,,,
zhuozhou+china,546754.0,,,,,,,,
apizaco+mexico,546347.5819,,,,,,,,
matamoros+mexico,546115.0,,,,,,,,
bilbao+spain,546043.0,080250,43.301,-2.911,"BILBAO, SPAIN",43.9,26.7,bilbao,spain
khulna+bangladesh,545849.0,,,,,,,,
london+canada,545441.0,,,,,,,,
longyan+china,543731.0,589270,25.100,117.017,"LONGYAN, CHINA",38.5,28.9,longyan,china
skikda+algeria,543402.0,603550,36.933,6.950,"SKIKDA, ALGERIA",45.1,28.3,skikda,algeria
gulbarga+india,543147.0,,,,,,,,
ajmer+india,542321.0,,,,,,,,
raleigh+u.s.,541527.0,,,,,,,,
cuiabá+brazil,540814.0,,,,,,,,
grand rapids+u.s.,539080.0,,,,,,,,
gaobeidian+china,538582.0,,,,,,,,
songyuan+china,538469.0,,,,,,,,
samarkand+uzbekistan,538211.0,386960,39.701,66.984,"SAMARKAND, UZBEKISTAN",41.3,25.0,samarkand,uzbekistan
yangjiang+china,538069.0,596630,21.867,111.967,"YANGJIANG, CHINA",37.5,29.4,yangjiang,china
kerman+iran,537718.0,408410,30.274,56.951,"KERMAN, IRAN, ISLAMIC REPUBLIC OF",41.7,21.3,kerman,iran
poznan+poland,536692.0,,,,,,,,
wanyuan+china,536685.0,572370,32.067,108.033,"WANYUAN, CHINA",38.0,28.0,wanyuan,china
jiangmen+china,536317.0,,,,,,,,
xingtai+china,536282.0,537980,37.183,114.367,"XINGTAI, CHINA",41.4,30.0,xingtai,china
ensenada+mexico,536143.0,,,,,,,,
shaoguan+china,535979.0,590820,24.667,113.600,"SHAOGUAN, CHINA",39.2,29.2,shaoguan,china
san juan+argentina,535947.1057,873110,-31.571,-68.418,"SAN JUAN, ARGENTINA",45.5,25.2,san juan,argentina
gomel+belarus,535693.0,330410,52.527,31.017,"GOMEL, BELARUS",37.3,25.5,gomel,belarus
himeji+japan,535664.0,477690,34.833,134.667,"HIMEJI, JAPAN",36.4,28.0,himeji,japan
guixi+china,535517.0,,,,,,,,
ruijin+china,535499.0,,,,,,,,
hannover+germany,535061.0,103380,52.461,9.685,"HANNOVER, GERMANY",36.5,24.3,hannover,germany
jinzhong+china,534357.0,,,,,,,,
santa fé+argentina,534204.1829,,,,,,,,
mazatlán+mexico,533733.0,,,,,,,,
jintan+china,533350.0,,,,,,,,
kemerovo+russian federation,532981.0,296420,55.270,86.107,"KEMEROVO, RUSSIAN FEDERATION",34.6,25.9,kemerovo,russian federation
ilorin+nigeria,532089.0,,,,,,,,
jambi+indonesia,531857.0,,,,,,,,
new haven+u.s.,531314.0,,,,,,,,
n'djamena+chad,530965.0,647000,12.134,15.034,"N'DJAMENA INTL, CHAD",46.0,32.4,n'djamena,chad
shangzhou+china,530883.0,,,,,,,,
panshi+china,530470.0,,,,,,,,
kaiyuan+china,529736.0,,,,,,,,
yazd+iran,529673.0,,,,,,,,
ardabil+iran,529374.0,,,,,,,,
sarajevo+bosnia and herzegovina,529021.0,133530,43.825,18.331,"SARAJEVO, BOSNIA AND HERZEGOVINA",39.5,25.3,sarajevo,bosnia and herzegovina
zhangshu+china,527823.0,,,,,,,,
beining+china,527217.0,,,,,,,,
bandar-e-abbas+iran,526648.0,,,,,,,,
ryazan+russian federation,524927.0,277300,54.633,39.700,"RYAZAN, RUSSIAN FEDERATION",37.6,25.4,ryazan,russian federation
xingcheng+china,524527.0,,,,,,,,
imbaba+egypt,523265.0,,,,,,,,
mcallen+u.s.,523144.0,722506,26.176,-98.240,"MCALLEN INTL, TX, USA",42.6,30.9,mcallen,u.s.
yicheng+china,522835.0,,,,,,,,
kadhimain+iraq,521444.0,,,,,,,,
dali+china,521169.0,567510,25.700,100.183,"DALI, CHINA",31.1,23.9,dali,china
chlef+algeria,521070.0,,,,,,,,
fuding+china,521070.0,587540,27.333,120.200,"FUDING, CHINA",39.5,29.6,fuding,china
arak+iran,520944.0,407690,34.138,49.847,"ARAK, IRAN, ISLAMIC REPUBLIC OF",41.2,24.1,arak,iran
jinzhou+china,520942.0,543370,41.133,121.117,"JINZHOU, CHINA",37.8,28.9,jinzhou,china
renhuai+china,520759.0,,,,,,,,
astrakhan+russian federation,520339.0,348800,46.283,47.983,"ASTRAKHAN, RUSSIAN FEDERATION",42.9,27.0,astrakhan,russian federation
bacoor city+philippines,520216.0,,,,,,,,
lemdiyya+algeria,519383.0,,,,,,,,
utsunomiya+japan,518594.0,476150,36.550,139.867,"UTSUNOMIYA, JAPAN",37.8,28.5,utsunomiya,japan
sidi-bel-abbès+algeria,517836.0,,,,,,,,
conghua+china,517552.0,,,,,,,,
kitwe+zambia,517543.0,,,,,,,,
changwon+south korea,517410.0,471550,35.170,128.573,"CHANGWON, KOREA, REPUBLIC OF",37.1,29.4,changwon,south korea
penza+russian federation,517311.0,279620,53.133,45.017,"PENZA, RUSSIAN FEDERATION",38.4,25.6,penza,russian federation
cochabamba+bolivia,516683.0,852230,-17.421,-66.177,"COCHABAMBA AP, BOLIVIA",34.1,22.8,cochabamba,bolivia
loni+india,516082.0,,,,,,,,
mianzhu+china,515830.0,,,,,,,,
tbessa+algeria,515786.0,,,,,,,,
pohang+south korea,515714.0,471380,36.033,129.383,"POHANG, KOREA, REPUBLIC OF",38.1,29.7,pohang,south korea
ujjain+india,515215.0,,,,,,,,
nürnberg+germany,515201.0,,,,,,,,
taicang+china,515063.0,,,,,,,,
matsuyama+japan,514865.0,478870,33.850,132.783,"MATSUYAMA, JAPAN",36.6,27.8,matsuyama,japan
linan+china,514238.0,,,,,,,,
wanning+china,513604.0,,,,,,,,
mouaskar+algeria,513432.0,,,,,,,,
siliguri+india,513264.0,,,,,,,,
naberezhnye tchelny+russian federation,513193.0,,,,,,,,
tabuk+saudi arabia,512629.0,403750,28.365,36.619,"TABUK, SAUDI ARABIA",45.2,25.6,tabuk,saudi arabia
grenoble+france,512591.0,,,,,,,,
"kuching bandaraya kuching utara dan selatan""""+malaysia",511518.0,,,,,,,,
quilmes+argentina,511234.0,,,,,,,,
linhe+china,510965.0,535130,40.767,107.400,"LINHE, CHINA",38.7,25.1,linhe,china
chibi+china,510926.0,,,,,,,,
feira de santana+brazil,510635.0,,,,,,,,
astana+kazakhstan,510533.0,351880,51.022,71.467,"ASTANA INTL, KAZAKHSTAN",40.4,23.2,astana,kazakhstan
juiz de fora+brazil,510378.0,,,,,,,,
jos+nigeria,510300.0,,,,,,,,
bucaramanga+colombia,509918.0,,,,,,,,
laohekou+china,509468.0,572650,32.433,111.733,"LAOHEKOU, CHINA",39.6,30.9,laohekou,china
wenchang+china,509271.0,,,,,,,,
lipetsk+russian federation,508887.0,,,,,,,,
zhijiang+china,508835.0,577450,27.450,109.683,"ZHIJIANG, CHINA",39.0,29.7,zhijiang,china
cuautla+mexico,508800.0,,,,,,,,
tepic+mexico,507927.0,765560,21.419,-104.843,"TEPIC INTL, MEXICO",37.0,29.9,tepic,mexico
pinghu+china,507899.0,,,,,,,,
zhaoqing+china,507834.0,,,,,,,,
qingyuan+china,506680.0,542590,42.067,124.867,"QINGYUAN, CHINA",36.8,27.3,qingyuan,china
lisboa+portugal,506654.0,085790,38.767,-9.133,"LISBOA, PORTUGAL",41.4,24.7,lisboa,portugal
ulhasnagar+india,506098.0,,,,,,,,
pondicherry+india,505959.0,,,,,,,,
jhansi+india,505693.0,,,,,,,,
kirov+russian federation,505346.0,271960,58.650,49.617,"KIROV, RUSSIAN FEDERATION",35.0,24.9,kirov,russian federation
muntinlupa+philippines,504509.0,,,,,,,,
las palmas de gran canaria+spain,504216.0,,,,,,,,
hanzhong+china,503871.0,571270,33.067,107.033,"HANZHONG, CHINA",38.1,28.9,hanzhong,china
chuxiong+china,503682.0,567680,25.017,101.517,"CHUXIONG, CHINA",33.9,21.9,chuxiong,china
toledo+u.s.,503008.0,724287,41.563,-83.476,"TOLEDO EXECUTIVE, OH, USA",39.6,27.7,toledo,u.s.
sangli-miraj kupwad+india,502793.0,,,,,,,,
higashiosaka+japan,502784.0,,,,,,,,
dengta+china,502149.0,,,,,,,,
tula+russian federation,501169.0,277190,54.233,37.617,"TULA, RUSSIAN FEDERATION",36.2,25.9,tula,russian federation
danjiangkou+china,501126.0,,,,,,,,
penglai+china,500408.0,,,,,,,,
aba+nigeria,500183.0,,,,,,,,
mangalore+india,499487.0,,,,,,,,
surakarta+indonesia,499337.0,,,,,,,,
shishi+china,498786.0,,,,,,,,
kannur+india,498207.0,,,,,,,,
duisburg+germany,498110.0,,,,,,,,
joinville+brazil,497850.0,,,,,,,,
bujumbura+burundi,497169.0,,,,,,,,
xinzhou+china,496608.0,,,,,,,,
dangyang+china,495946.0,,,,,,,,
el oued+algeria,495573.0,,,,,,,,
hebi+china,495336.0,,,,,,,,
ibagué+colombia,495246.0,,,,,,,,
ganzhou+china,494600.0,579930,25.850,114.950,"GANZHOU, CHINA",39.7,29.6,ganzhou,china
yucheng+china,494301.0,,,,,,,,
chuzhou+china,493735.0,,,,,,,,
londrina+brazil,493520.0,837680,-23.334,-51.130,"LONDRINA AP, BRAZIL",38.3,29.1,londrina,brazil
liège+belgium,493283.0,,,,,,,,
siping+china,492841.0,541570,43.183,124.333,"SIPING, CHINA",36.1,27.9,siping,china
bago+myanmar,491434.0,,,,,,,,
belgaum+india,490045.0,431980,15.859,74.618,"BELGAUM, INDIA",41.5,28.2,belgaum,india
ciudad lópez mateos+mexico,489160.0,,,,,,,,
nanping+china,488818.0,588340,26.633,118.150,"NANPING, CHINA",39.9,28.9,nanping,china
cuenca+ecuador,487901.0,,,,,,,,
nishinomiya+japan,487850.0,,,,,,,,
niterói+brazil,487562.0,,,,,,,,
shuangyashan+china,487294.0,,,,,,,,
newcastle-maitland+australia,486704.0,,,,,,,,
qitaihe+china,486704.0,,,,,,,,
zhangye+china,486688.0,526520,39.083,100.283,"ZHANGYE, CHINA",39.2,23.6,zhangye,china
erbil+iraq,485968.0,,,,,,,,
hongjiang+china,485061.0,,,,,,,,
baicheng+china,484979.0,,,,,,,,
urawa+japan,484845.0,,,,,,,,
karaganda+kazakhstan,484768.0,,,,,,,,
mesa+u.s.,484587.0,,,,,,,,
cuautitlan izcalli+mexico,484573.0,,,,,,,,
orizaba+mexico,484061.0,,,,,,,,
matsudo+japan,483480.0,,,,,,,,
huanghua+china,483273.0,,,,,,,,
udon thani+thailand,483057.0,483540,17.386,102.788,"UDON THANI, THAILAND",42.4,29.9,udon thani,thailand
sanya+china,482296.0,599480,18.217,109.583,"SANYA, CHINA",36.9,29.7,sanya,china
russiefa+jordan,481900.0,,,,,,,,
nikolaev+ukraine,481760.0,,,,,,,,
ichikawa+japan,481732.0,,,,,,,,
malegaon+india,481228.0,,,,,,,,
canberra-queanbeyan+australia,480919.0,,,,,,,,
dunhua+china,480834.0,541860,43.367,128.200,"DUNHUA, CHINA",34.3,25.6,dunhua,china
samut sakhon+thailand,479186.0,,,,,,,,
baton rouge+u.s.,479019.0,,,,,,,,
jianou+china,478651.0,,,,,,,,
oita+japan,478146.0,478150,33.233,131.617,"OITA, JAPAN",37.1,28.4,oita,japan
kurashiki+japan,477118.0,,,,,,,,
djibouti+djibouti,475322.0,,,,,,,,
leeds+united kingdom,474632.0,,,,,,,,
shahe+china,474260.0,,,,,,,,
jiaohe+china,474109.0,,,,,,,,
gaya+india,474093.0,425910,24.744,84.951,"GAYA, INDIA",46.6,30.8,gaya,india
puerto vallarta+mexico,473944.0,766013,20.680,-105.254,"PUERTO VALLARTA INTL, MEXICO",37.9,30.7,puerto vallarta,mexico
tirunelveli+india,473637.0,,,,,,,,
wargla+algeria,473543.0,,,,,,,,
jiangshan+china,473222.0,,,,,,,,
cheboksary+russian federation,473189.0,,,,,,,,
ji'an+china,473113.0,543770,41.150,126.217,"JI'AN, CHINA",37.2,27.3,ji'an,china
anda+china,473091.0,508540,46.383,125.317,"ANDA, CHINA",38.2,27.0,anda,china
jiande+china,473062.0,,,,,,,,
piura+peru,473025.0,,,,,,,,
yuanping+china,471853.0,536730,38.750,112.700,"YUANPING, CHINA",38.5,25.9,yuanping,china
gaoping+china,471671.0,,,,,,,,
fenghua+china,471558.0,,,,,,,,
qingzhen+china,471305.0,,,,,,,,
ananindeua+brazil,470819.0,,,,,,,,
long beach+u.s.,470130.0,722970,33.812,-118.146,"LONG BEACH AP, CA, USA",42.1,25.9,long beach,u.s.
utrecht+netherlands,469712.0,,,,,,,,
belford roxo+brazil,469332.0,,,,,,,,
lanus+argentina,468561.0,,,,,,,,
santo domingo north+dominican republic,468468.0,,,,,,,,
oum el bouaghi+algeria,467997.0,,,,,,,,
buraydah+saudi arabia,467410.0,,,,,,,,
nangong+china,467356.0,,,,,,,,
ciudad apodaca+mexico,467157.0,,,,,,,,
rouen+france,467133.0,,,,,,,,
ambattur+india,466205.0,,,,,,,,
colorado springs+u.s.,466122.0,724660,38.810,-104.688,"COLORADO SPRINGS MUNICIPAL, CO, USA",37.4,20.5,colorado springs,u.s.
huancayo+peru,465834.0,,,,,,,,
kanazawa+japan,465699.0,476050,36.583,136.633,"KANAZAWA, JAPAN",37.6,27.9,kanazawa,japan
enping+china,464898.0,,,,,,,,
gdansk+poland,464834.0,,,,,,,,
fukuyama+japan,464811.0,477670,34.450,133.250,"FUKUYAMA, JAPAN",37.5,27.9,fukuyama,japan
weihui+china,464371.0,,,,,,,,
adhamiyah+iraq,464151.0,,,,,,,,
duyun+china,463426.0,,,,,,,,
mariupol+ukraine,462319.0,,,,,,,,
liaoyuan+china,462233.0,,,,,,,,
brighton/worthing/littlehampton+united kingdom,461181.0,,,,,,,,
strasbourg+france,461101.0,,,,,,,,
baiyin+china,460982.0,,,,,,,,
jalgaon+india,460228.0,,,,,,,,
tonghua+china,460148.0,,,,,,,,
boumerdes+algeria,459250.0,,,,,,,,
sao joao de meriti+brazil,458673.0,,,,,,,,
sargodha+pakistan,458440.0,,,,,,,,
kurnool+india,457633.0,432130,15.800,78.067,"KURNOOL, INDIA",44.9,31.0,kurnool,india
sanhe+china,456882.0,,,,,,,,
omiya+japan,456271.0,,,,,,,,
soledad+colombia,455796.0,,,,,,,,
chipata+zambia,455783.0,,,,,,,,
chiang rai+thailand,455732.0,483030,19.885,99.827,"CHIANG RAI, THAILAND",39.9,28.5,chiang rai,thailand
aparecida de goiania+brazil,455193.0,,,,,,,,
pingliang+china,454996.0,539150,35.550,106.667,"PINGLIANG, CHINA",35.5,24.5,pingliang,china
san jose del monte+philippines,454553.0,,,,,,,,
zhangjiajie+china,453723.0,,,,,,,,
santiago de cuba+cuba,453485.0,,,,,,,,
gejiu+china,453311.0,,,,,,,,
amagasaki+japan,452563.0,,,,,,,,
mixco+guatemala,452134.0,,,,,,,,
bangui+central african republic,451690.0,,,,,,,,
ndola+zambia,451246.0,,,,,,,,
udaipur+india,451100.0,,,,,,,,
marikina+philippines,450741.0,,,,,,,,
ain defla+algeria,450280.0,,,,,,,,
qionghai+china,449845.0,598550,19.233,110.467,"QIONGHAI, CHINA",38.5,30.0,qionghai,china
edinburgh+united kingdom,448624.0,031600,55.950,-3.373,"EDINBURGH, UNITED KINGDOM",29.7,22.4,edinburgh,united kingdom
linxiang+china,448452.0,,,,,,,,
maheshtala+india,448317.0,,,,,,,,
puyang+china,448290.0,,,,,,,,
islam shahr+iran,448129.0,,,,,,,,
iloilo+philippines,447992.0,986370,10.713,122.541,"ILOILO, PHILIPPINES",39.8,33.7,iloilo,philippines
tel aviv-yafo+israel,447730.0,,,,,,,,
qinyang+china,446404.0,,,,,,,,
patiala+india,446246.0,421010,30.333,76.467,"PATIALA, INDIA",46.1,31.2,patiala,india
rayong+thailand,445939.0,484780,12.633,101.350,"RAYONG, THAILAND",39.6,31.4,rayong,thailand
jingdezhen+china,444720.0,585270,29.300,117.200,"JINGDEZHEN, CHINA",39.8,29.6,jingdezhen,china
huadian+china,444415.0,542730,42.983,126.750,"HUADIAN, CHINA",34.8,27.5,huadian,china
tiruppur+india,444352.0,,,,,,,,
putian+china,443926.0,,,,,,,,
jinghong+china,443672.0,,,,,,,,
cangzhou+china,443561.0,546160,38.333,116.833,"CANGZHOU, CHINA",40.0,30.7,cangzhou,china
san nicolas de los garza+mexico,443273.0,,,,,,,,
shah alam+malaysia,443222.0,,,,,,,,
el-mahalla el-kubra+egypt,442958.0,,,,,,,,
bei'an+china,442474.0,,,,,,,,
portsmouth+united kingdom,442252.0,,,,,,,,
annaba+algeria,442230.0,,,,,,,,
sochi+russian federation,441407.0,371710,43.450,39.957,"SOCHI INTL, RUSSIAN FEDERATION",37.6,28.3,sochi,russian federation
leicester+united kingdom,441213.0,,,,,,,,
taonan+china,441096.0,,,,,,,,
mila+algeria,440735.0,,,,,,,,
halifax+canada,440348.0,,,,,,,,
sanshui+china,440119.0,,,,,,,,
xinle+china,439644.0,,,,,,,,
mansûra+egypt,439348.0,,,,,,,,
palma de mallorca+spain,439091.0,083060,39.550,2.733,"PALMA DE MALLORCA, SPAIN",39.6,29.8,palma de mallorca,spain
laval+canada,438973.0,,,,,,,,
