city+country,Value,wmo,lat,long,place,db_max,wb_max,city,country
xi'an+china,4481508.0,513340,44.567,82.817,"JINGHE, CHINA",41.3,26.2,xi'an,china
nairobi+kenya,4397073.0,637400,-1.319,36.928,"NAIROBI JOMO KENYATTA INTL, KENYA",34.4,22.3,nairobi,kenya
abidjan+cote d'ivoire,4395243.0,655780,5.261,-3.926,"ABIDJAN, COTE D'IVOIRE",38.7,31.0,abidjan,cote d'ivoire
dar es salaam+united republic of tanzania,4364541.0,,,,,,,,
chengdu+china,4333541.0,562940,30.579,103.947,"CHENGDU SHUANGLIU, CHINA",38.4,30.3,chengdu,china
montreal+canada,4318505.0,713710,45.520,-73.420,"MONTREAL ST-HUBERT, QC, CANADA",35.5,27.8,montreal,canada
dallas+u.s.,4145659.0,722599,32.681,-96.868,"DALLAS EXECUTIVE, TX, USA",43.7,28.1,dallas,u.s.
boston+u.s.,4032484.0,725090,42.361,-71.011,"BOSTON LOGAN INTL, MA, USA",38.8,27.1,boston,u.s.
amman+jordan,4007526.0,402700,31.973,35.992,"AMMAN, JORDAN",42.9,25.7,amman,jordan
madrid+spain,3998829.0,082210,40.494,-3.567,"MADRID BARAJAS, SPAIN",41.0,25.3,madrid,spain
washington+u.s.,3933920.0,725454,41.276,-91.673,"WASHINGTON MUNICIPAL, IA, USA",47.7,31.4,washington,u.s.
detroit+u.s.,3903377.0,725375,42.409,-83.010,"DETROIT COLEMAN YOUNG INTL, MI, USA",38.7,28.6,detroit,u.s.
baghdad+iraq,3841268.0,406500,33.267,44.233,"BAGHDAD INTL, IRAQ",51.0,27.0,baghdad,iraq
houston+u.s.,3822509.0,722436,29.617,-95.167,"HOUSTON ELLINGTON AP, TX, USA",41.3,31.6,houston,u.s.
yokohama+japan,3724844.0,476700,35.433,139.650,"YOKOHAMA, JAPAN",36.7,28.3,yokohama,japan
nanjing+china,3624234.0,582380,31.742,118.862,"NANJING LUKOU, CHINA",39.7,30.8,nanjing,china
berlin+germany,3613495.0,103820,52.560,13.288,"BERLIN TEGEL, GERMANY",39.3,23.5,berlin,germany
atlanta+u.s.,3499840.0,722197,33.355,-84.567,"ATLANTA REGIONAL, GA, USA",39.3,28.3,atlanta,u.s.
haerbin+china,3481504.0,509530,45.933,126.567,"HARBIN, CHINA",37.7,27.1,haerbin,china
jiddah+saudi arabia,3430697.0,410240,21.680,39.157,"JEDDAH KING ABDULAZIZ INTL, SAUDI ARABIA",49.4,34.6,jiddah,saudi arabia
busan+south korea,3400027.0,471590,35.100,129.033,"BUSAN, KOREA, REPUBLIC OF",35.0,29.3,busan,south korea
dhaka+bangladesh,3397187.0,,,,,,,,
dalian+china,3245191.0,546620,38.966,121.539,"DALIAN INTL, CHINA",36.9,29.5,dalian,china
changchun+china,3225557.0,541610,43.996,125.681,"CHANGCHUN LONGJIA, CHINA",36.7,27.4,changchun,china
faisalabad+pakistan,3203846.0,,,,,,,,
puebla+mexico,3179162.0,766850,19.158,-98.371,"PUEBLA INTL, MEXICO",32.7,22.7,puebla,mexico
pune+india,3124458.0,430630,18.583,73.917,"PUNE INTL, INDIA",41.9,28.8,pune,india
jaipur+india,3046163.0,423480,26.824,75.812,"JAIPUR, INDIA",47.0,31.5,jaipur,india
kunming+china,3035406.0,567780,24.992,102.744,"KUNMING WUJIABA, CHINA",32.1,23.4,kunming,china
mashhad+iran,3001184.0,407450,36.235,59.641,"MASHHAD INTL, IRAN, ISLAMIC REPUBLIC OF",42.5,25.6,mashhad,iran
jinan+china,2999934.0,548230,36.683,116.983,"JINAN TSINAN, CHINA",40.4,29.8,jinan,china
san francisco+u.s.,2995769.0,724940,37.620,-122.365,"SAN FRANCISCO INTL, CA, USA",37.2,22.2,san francisco,u.s.
guiyang+china,2985105.0,578160,26.539,106.801,"GUIYANG LONGDONGBAO INTL, CHINA",35.4,26.3,guiyang,china
incheon+south korea,2938875.0,471120,37.467,126.633,"INCHEON, KOREA, REPUBLIC OF",35.8,29.3,incheon,south korea
quezon city+philippines,2936116.0,984300,14.650,121.050,"SCIENCE GARDEN, PHILIPPINES",39.2,32.5,quezon city,philippines
phoenix+u.s.,2907049.0,722780,33.428,-112.004,"PHOENIX SKY HARBOR INTL, AZ, USA",48.7,27.4,phoenix,u.s.
kyiv+ukraine,2893215.0,333470,50.345,30.895,"KIEV BORYSPIL INTL, UKRAINE",38.1,25.0,kyiv,ukraine
roma+italy,2864466.5,162390,41.799,12.595,"ROMA CIAMPINO, ITALY",39.4,28.4,roma,italy
zibo+china,2817479.0,,,,,,,,
lucknow+india,2817105.0,423690,26.761,80.889,"LUCKNOW, INDIA",46.8,32.7,lucknow,india
mwanza+united republic of tanzania,2772509.0,,,,,,,,
kanpur+india,2768057.0,423690,26.761,80.889,"LUCKNOW, INDIA",46.8,32.7,kanpur,india
surabaya+indonesia,2765487.0,969350,-7.380,112.787,"JUANDA INTL, INDONESIA",36.7,30.5,surabaya,indonesia
addis ababa+ethiopia,2739551.0,,,,,,,,
qingdao+china,2720972.0,548570,36.266,120.374,"QINGDAO INTL, CHINA",39.2,29.7,qingdao,china
algiers+algeria,2712944.0,603900,36.691,3.215,"DAR EL BEIDA, ALGERIA",45.0,29.1,algiers,algeria
seattle+u.s.,2712205.0,727930,47.444,-122.314,"SEATTLE-TACOMA INTL, WA, USA",38.3,24.6,seattle,u.s.
vancouver+canada,2691351.0,718920,49.190,-123.180,"VANCOUVER INTL, BC, CANADA",31.7,22.8,vancouver,canada
osaka+japan,2691185.0,477710,34.786,135.438,"OSAKA INTL, JAPAN",39.6,28.6,osaka,japan
salvador+brazil,2674923.0,832480,-12.911,-38.331,"SALVADOR INTL, BRAZIL",37.7,30.6,salvador,brazil
san diego+u.s.,2674436.0,722900,32.734,-117.183,"SAN DIEGO INTL, CA, USA",37.4,24.6,san diego,u.s.
san martín texmelucan+mexico,2668437.0,,,,,,,,
budapest+hungary,2608485.0,128430,47.433,19.183,"BUDAPEST PESTSZENTLORINC, HUNGARY",39.1,25.1,budapest,hungary
zhengzhou+china,2589387.0,570830,34.520,113.841,"XINZHENG INTL, CHINA",41.5,31.0,zhengzhou,china
pyongyang+north korea,2581076.0,470580,39.224,125.670,"PYONGYANG SUNAN INTL, KOREA, DEMOCRATIC PEOPLE'S REPUBLIC OF",35.4,28.9,pyongyang,north korea
giza+egypt,2572581.0,,,,,,,,
taiyuan+china,2558382.0,537720,37.747,112.628,"TAIYUAN WUSU INTL, CHINA",39.3,28.4,taiyuan,china
tashkent+uzbekistan,2509969.0,384570,41.258,69.281,"TASHKENT INTL, UZBEKISTAN",44.1,27.4,tashkent,uzbekistan
brasilia+brazil,2481272.0,833780,-15.863,-47.913,"BRASILIA INTL, BRAZIL",36.0,26.6,brasilia,brazil
chaoyang+china,2470812.0,543240,41.550,120.450,"CHAOYANG, CHINA",41.0,28.4,chaoyang,china
fortaleza+brazil,2452185.0,823980,-3.776,-38.533,"FORTALEZA INTL, BRAZIL",35.4,30.5,fortaleza,brazil
hangzhou+china,2451319.0,584570,30.228,120.432,"HANGZHOU XIAOSHAN INTL, CHINA",40.5,30.3,hangzhou,china
daegu+south korea,2449789.0,471430,35.883,128.617,"DAEGU, KOREA, REPUBLIC OF",38.5,28.0,daegu,south korea
nagpur+india,2405665.0,428670,21.092,79.047,"NAGPUR AMBEDKAR INTL, INDIA",48.7,32.0,nagpur,india
bandung+indonesia,2394873.0,,,,,,,,
minneapolis+u.s.,2388593.0,726580,44.883,-93.229,"MINNEAPOLIS-ST PAUL INTL, MN, USA",39.2,28.8,minneapolis,u.s.
brisbane+australia,2379724.0,945750,-27.570,153.008,"BRISBANE ARCHERFIELD, AUSTRALIA",42.1,27.8,brisbane,australia
toluca+mexico,2377828.0,766753,19.337,-99.566,"TOLUCA INTL, MEXICO",30.8,19.4,toluca,mexico
belo horizonte+brazil,2375151.0,835830,-19.851,-43.951,"BELO HORIZONTE AP, BRAZIL",36.8,27.3,belo horizonte,brazil
zhongshan+china,2363322.0,,,,,,,,
nagoya+japan,2295638.0,476350,35.255,136.924,"NAGOYA, JAPAN",39.6,28.5,nagoya,japan
guayaquil+ecuador,2278738.0,842030,-2.157,-79.884,"JOSE JOAQUIN DE OLMEDO INTL, ECUADOR",36.0,27.9,guayaquil,ecuador
baku+azerbaijan,2270030.0,378640,40.468,50.047,"HEYDAR ALIYEV INTL, AZERBAIJAN",40.0,31.6,baku,azerbaijan
manchester+united kingdom,2244931.0,033340,53.354,-2.275,"MANCHESTER, UNITED KINGDOM",32.6,22.3,manchester,united kingdom
medellín+colombia,2219861.0,,,,,,,,
barcelona+spain,2208652.0,,,,,,,,
kano+nigeria,2166554.0,,,,,,,,
nanhai+china,2133741.0,,,,,,,,
fuzhou+china,2124435.0,,,,,,,,
changsha+china,2122873.0,576870,28.117,112.783,"CHANGSHA, CHINA",40.1,30.2,changsha,china
quito+ecuador,2122594.0,,,,,,,,
rawalpindi+pakistan,2098231.0,,,,,,,,
medan+indonesia,2097610.0,,,,,,,,
lanzhou+china,2087759.0,528890,36.050,103.883,"LANZHOU, CHINA",39.2,23.1,lanzhou,china
dodoma+united republic of tanzania,2083588.0,,,,,,,,
caracas+venezuela,2082130.0,,,,,,,,
st. louis+u.s.,2077662.0,,,,,,,,
baltimore+u.s.,2076354.0,,,,,,,,
cali+colombia,2075380.0,,,,,,,,
tampa+u.s.,2062339.0,722110,27.962,-82.540,"TAMPA INTL, FL, USA",36.4,29.3,tampa,u.s.
greater perth+australia,2059484.0,,,,,,,,
xiamen+china,2053070.0,,,,,,,,
gujranwala+pakistan,2027001.0,,,,,,,,
perth+australia,2020138.0,946100,-31.940,115.967,"PERTH INTL, AUSTRALIA",44.4,26.3,perth,australia
tijuana+mexico,2011247.0,760013,32.541,-116.970,"TIJUANA INTL, MEXICO",40.7,28.2,tijuana,mexico
zaozhuang+china,1996798.0,,,,,,,,
indore+india,1994397.0,,,,,,,,
denver+u.s.,1984887.0,725650,39.833,-104.658,"DENVER INTL, CO, USA",39.6,20.8,denver,u.s.
minsk+belarus,1982444.0,,,,,,,,
dakar+senegal,1976533.0,,,,,,,,
peshawar+pakistan,1970042.0,,,,,,,,
shijiazhuang+china,1969975.0,536980,38.067,114.350,"SHIJIAZHUANG, CHINA",41.9,30.2,shijiazhuang,china
esfahan+iran,1961260.0,,,,,,,,
jilin+china,1953134.0,,,,,,,,
sapporo+japan,1952356.0,474120,43.067,141.333,"SAPPORO, JAPAN",35.5,26.8,sapporo,japan
linyi+china,1938510.0,549380,35.050,118.350,"LINYI, CHINA",38.1,29.8,linyi,china
wenzhou+china,1915548.0,586590,28.017,120.667,"WENZHOU, CHINA",38.5,29.6,wenzhou,china
douala+cameroon,1907479.0,649100,4.006,9.719,"DOUALA, CAMEROON",35.9,32.5,douala,cameroon
stockholm+sweden,1904025.0,,,,,,,,
león+mexico,1880630.0,,,,,,,,
conakry+guinea,1879695.0,,,,,,,,
multan+pakistan,1871843.0,,,,,,,,
puning+china,1856402.0,,,,,,,,
nanchang+china,1844253.0,,,,,,,,
thane+india,1841488.0,,,,,,,,
ibadan+nigeria,1835300.0,,,,,,,,
hamburg+germany,1830584.0,,,,,,,,
bucuresti+romania,1829897.0,,,,,,,,
wien+austria,1829876.0,,,,,,,,
yaounde+cameroon,1817524.0,,,,,,,,
bamako+mali,1810366.0,,,,,,,,
tangerang+indonesia,1798601.0,,,,,,,,
bhopal+india,1798218.0,426670,23.287,77.337,"BHOPAL, INDIA",45.1,30.1,bhopal,india
manaus+brazil,1792881.0,,,,,,,,
cleveland+u.s.,1786647.0,,,,,,,,
manila+philippines,1780148.0,984250,14.583,120.983,"MANILA, PHILIPPINES",38.8,30.6,manila,philippines
nanchong+china,1771920.0,574110,30.800,106.083,"NANCHONG, CHINA",41.3,29.7,nanchong,china
irbid+jordan,1770158.0,,,,,,,,
nanning+china,1766701.0,,,,,,,,
warszawa+poland,1766212.0,,,,,,,,
urumqi+china,1753298.0,,,,,,,,
pittsburgh+u.s.,1753136.0,725200,40.485,-80.214,"PITTSBURGH INTL, PA, USA",36.8,27.1,pittsburgh,u.s.
vadodara+india,1752371.0,,,,,,,,
curitiba+brazil,1751907.0,,,,,,,,
sana'a+yemen,1747934.0,,,,,,,,
lusaka+zambia,1747152.0,,,,,,,,
hyderabad+pakistan,1732693.0,,,,,,,,
kumasi+ghana,1730249.0,,,,,,,,
greater visakhapatnam municipal corporation+india,1728128.0,,,,,,,,
pimpri chinchwad+india,1727692.0,,,,,,,,
yantai+china,1724404.0,,,,,,,,
tangshan+china,1711311.0,545340,39.650,118.100,"TANGSHAN, CHINA",39.2,29.8,tangshan,china
shunde+china,1694152.0,,,,,,,,
beograd+serbia,1690193.0,132740,44.800,20.467,"BEOGRAD, SERBIA",40.6,26.1,beograd,serbia
patna+india,1684297.0,424920,25.591,85.088,"PATNA, INDIA",46.4,32.4,patna,india
xuzhou+china,1679626.0,580270,34.283,117.150,"XUZHOU, CHINA",39.3,30.0,xuzhou,china
baotou+china,1671181.0,,,,,,,,
hefei+china,1659075.0,,,,,,,,
ecatepec+mexico,1655015.0,,,,,,,,
maracaibo+venezuela,1653215.0,,,,,,,,
ghaziabad+india,1648643.0,,,,,,,,
lyon+france,1639558.0,,,,,,,,
davao+philippines,1632991.0,,,,,,,,
asunción+paraguay,1620483.0,,,,,,,,
ludhiana+india,1618879.0,,,,,,,,
tianmen+china,1613739.0,,,,,,,,
suzhou+china,1601181.0,,,,,,,,
suizhou+china,1598752.0,,,,,,,,
accra+ghana,1594419.0,,,,,,,,
karaj+iran,1592492.0,,,,,,,,
kuala lumpur+malaysia,1588750.0,,,,,,,,
agra+india,1585704.0,,,,,,,,
marseille+france,1585498.0,,,,,,,,
nanyang+china,1584715.0,571780,33.100,112.483,"NANYANG, CHINA",39.4,30.4,nanyang,china
caloocan+philippines,1583978.0,,,,,,,,
portland+u.s.,1583138.0,726980,45.596,-122.609,"PORTLAND INTL, OR, USA",40.6,24.6,portland,u.s.
ningbo+china,1567499.0,,,,,,,,
shiraz+iran,1565572.0,,,,,,,,
córdoba+argentina,1563701.869,,,,,,,,
bruxelles+belgium,1561395.0,,,,,,,,
lu'an+china,1559037.0,,,,,,,,
tabriz+iran,1558693.0,407060,38.134,46.235,"TABRIZ INTL, IRAN, ISLAMIC REPUBLIC OF",40.7,22.3,tabriz,iran
anshan+china,1556285.0,,,,,,,,
semarang+indonesia,1555984.0,,,,,,,,
tengzhou+china,1548817.0,,,,,,,,
qiqihaer+china,1540089.0,,,,,,,,
pizhou+china,1539922.0,,,,,,,,
fukuoka+japan,1538681.0,478080,33.586,130.451,"FUKUOKA, JAPAN",37.6,28.6,fukuoka,japan
san jose+u.s.,1538312.0,,,,,,,,
tai'an+china,1538211.0,,,,,,,,
recife+brazil,1537704.0,828990,-8.126,-34.924,"RECIFE INTL, BRAZIL",38.0,30.9,recife,brazil
kobe+japan,1537272.0,477700,34.700,135.217,"KOBE, JAPAN",37.6,29.0,kobe,japan
makkah+saudi arabia,1534731.0,410300,21.433,39.767,"MAKKAH, SAUDI ARABIA",49.8,31.8,makkah,saudi arabia
datong+china,1526744.0,534870,40.083,113.417,"DATONG, CHINA",37.8,24.5,datong,china
daejeon+south korea,1517902.0,471330,36.300,127.400,"DAEJEON, KOREA, REPUBLIC OF",36.9,29.6,daejeon,south korea
calgary+canada,1514723.0,718770,51.120,-114.010,"CALGARY INTL, AB, CANADA",34.5,23.3,calgary,canada
kampala+uganda,1507114.0,,,,,,,,
riverside+u.s.,1506816.0,722869,33.952,-117.439,"RIVERSIDE MUNICIPAL, CA, USA",44.8,25.4,riverside,u.s.
cincinnati+u.s.,1503262.0,,,,,,,,
west yorkshire+united kingdom,1499465.0,,,,,,,,
gwangju+south korea,1493417.0,471560,35.167,126.900,"GWANGJU, KOREA, REPUBLIC OF",36.8,29.4,gwangju,south korea
luoyang+china,1491680.0,,,,,,,,
kalookan+philippines,1489040.0,,,,,,,,
nashik+india,1486053.0,,,,,,,,
harare+zimbabwe,1485231.0,677750,-17.932,31.093,"HARARE INTL, ZIMBABWE",35.8,23.8,harare,zimbabwe
jinjiang+china,1479259.0,,,,,,,,
