Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be (D. Guha-Sapir),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2020-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Sun, 01 Nov 2020 17:08:57 CET",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1955-0046-USA,1955,0046,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,Los Angeles,,,,,No,No,,,°C,,,,,1955,8,30,1955,9,7,107,,,,,,,,10.47300041
1958-0002-USA,1958,0002,Natural,Meteorological,Extreme temperature,Cold wave,,,SigDam,United States of America (the),USA,Northern America,Americas,East,,,,,,,,,°C,,,,,1958,,,1958,,,,,,,,,,520000,11.28789241
1962-0027-MEX,1962,0027,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Mexico,MEX,Central America,Americas,,,,,,,,,,°C,,,,,1962,5,,1962,5,,50,,,,,,,,11.83224153
1963-0061-USA,1963,0061,Natural,Meteorological,Extreme temperature,Cold wave,,,Kill,United States of America (the),USA,Northern America,Americas,,,,,,,,,,°C,,,,,1963,1,,1963,1,,150,,,,,,,,11.97891616
1966-0055-USA,1966,0055,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,Illinois state,,,,,,,,,°C,,,,,1966,7,,1966,7,,80,,,,,,,,12.69602817
1966-0056-USA,1966,0056,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,"St Louis, Missouri",,,,,,,,,°C,,,,,1966,7,9,1966,7,9,182,,,,,,,,12.69602817
1968-0123-MEX,1968,0123,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Mexico,MEX,Central America,Americas,,,,,,,,,,°C,,,,,1968,7,,1968,7,,40,,,,,,,,13.60544609
1972-0045-USA,1972,0045,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,New York,,,,,,,,,°C,,,,,1972,7,22,1972,7,22,10,,,,,,,,16.35652475
1973-0036-USA,1973,0036,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,United States of America (the),USA,Northern America,Americas,New York,,,,,,,,,°C,,,,,1973,8,31,1973,8,31,22,,,,,,,,17.36698602
1975-0033-PAK,1975,0033,Natural,Meteorological,Extreme temperature,Heat wave,,,Kill,Pakistan,PAK,Southern Asia,Asia,,,,,,,,,,°C,,,,,1975,6,,1975,6,,14,,,,,,,,21.05030752
